,1,2,3,4,5,6,7
0.125,(1.994487711915446+0.11433406282963753j),(-1.8303004001609422-5.025626256165207e-18j),(-2.262891388414364+0j),(2.1299097456107403+0j),(-3.0424812503605994+0j),(-1.6666666666667043+0j),(-1+0j)
0.25,(-1.7722432552298564+0j),(-0.9080125479105674+0j),(-2.2133485359901397+0j),(-2.051194866173195+0j),(-3.218375897719903+0j),(-3.000000000000008+0j),(-2+0j)
0.375,(-0.37704816762379073+0j),(0.8918815649402148+0j),(0.7451505375008882+0j),(-1.8339850002885385+0j),(-1.5424812503605971+0j),(-1.666666666666663+0j),(-1.4999999999999776+0j)
