,1,2,3,4,5,6,7,8,9
0.1,(-0.13424230057614484-0.23803745681318703j),(-2.002943803555045+0.12548029863068275j),(-1.9956815128069558-0.29973870816283354j),(0.018876762363106283+0.6114583591565409j),(-1.0799574958433809-0.2230686822252987j),(-2.7361494965550865-0.1828788326397084j),(-2.541258438885727+0j),(-0.6666666666666758+0j),(-1.5000000000000062+0j)
0.2,(0.15629200792633446+0.2047644646944029j),(0.3580303683328636-0.1487608017498228j),(-0.07060216917806206+0.11948020229431756j),(1.2118192057094612+0j),(-2.357184986363308+0j),(-1.8252068686518825+0j),(-1.2924812503605456+0j),(-0.3333333333333367+0j),(-1+0j)
0.3,(-1.830964382856636-0.16506127881384708j),(-2.0904970274576633+0.006525957823542821j),(-4.72050551236493-0.00013606912835681842j),(-4.800113362414809-0.02584877099615851j),(-5.693566091529286+0j),(-4.800000000000003+0j),(-5.25+0j),(-4+0j),(-2+0j)
0.4,(-3.9598853180726064-0.06311794973634267j),(-3.167319067116112-0.0014847112929948592j),(-4.016492864178417+0j),(-5.542443729685015+0j),(-4.389970481281437+0j),(-4.000000000000007+0j),(-5.2500000000000036+0j),(-4+0j),(-2+0j)
