,1,2,3,4,5,6,7,8,9
0.1,(1.1102278977110156-0.26493339458644827j),(-0.1508721244427518-0.11729910841034202j),(2.3303371556537917-5.481490772012916e-06j),(-0.34017743677610274+0j),(1.1673313780133836+0j),(-2.0339850002882773+0j),(-1.292481250360628+0j),(-1.6666666666666923+0j),(-1+0j)
0.2,(-1.7577634613937236+0.9608724241821959j),(-0.961525642942315-0.5539469132907107j),(-2.4065141927708757-0.1783408989713114j),(-2.1781415374830297-0.542651428668824j),(-1.0426028732205568-0.04079154119187812j),(-0.9817403979545793-0.1523192208337119j),(-0.9113720131703354+0j),(-2.333333333333423+0j),(-1+0j)
0.3,(1.5387759328138042+0.511258141628312j),(3.033779250781779-0.15073190454490623j),(-1.4851439362248708+0j),(-2.1832974932002+0j),(-3.6036538615685885+0j),(-1.296815253942157+0j),(-3.75+0j),(-2.6666666666666665+0j),(-2+0j)
0.4,(1.2208229593549136+0.7384497507463077j),(-1.1097371338886264+0.52231515992904j),(-1.8669625936468974-0.0020411905179258064j),(-2.319353527824945-0.01821111108570154j),(-1.7535529885201755+0j),(-3.057542475909889+0j),(-3.0849625007211277+0j),(-1.333333333333345+0j),(-1.5000000000000102+0j)
