,1,2,3,4,5,6,7,8,9
0.1,(-16.369957697831186+0.004267461759820968j),(-14.444418940914842-0.0029017422141153j),(-10.959860605187274-0.36166531587541423j),(-9.283134159977216-0.09179699467438947j),(-7.451612422273946-0.14865617482819576j),(-6.232983609258236-0.006188065781855667j),(-3.8385308479218114+0.04579328085935792j),(-2.2698247609294553+0.47451002607815773j),(-1+0j)
0.2,(-0.1247005854152965+0.36580531327119076j),(-1.7471794636341067+0.6116575591254991j),(-0.9599534507802501+0.8159272091235095j),(-1.4434001809494392+0.4261769066326794j),(-0.7860287443773163-0.526087482271289j),(-0.563031586284713+0.21144266432831216j),(-0.1141620581025794+0j),(-0.3333333333333357+0j),(-1+0j)
0.3,(-11.641668191659033+0.06261268167141329j),(-9.171557295182312-0.0011050584349695546j),(-5.721113263972198-0.46200710042355775j),(-4.445632424792462+0.12646414184121527j),(-3.774721939814768-0.13022470381952933j),(-2.317307039729839+0j),(-2.8857766515818053+0j),(-3.000000000000002+0j),(-2+0j)
0.4,(-1.705706776505197-0.041042280461921404j),(-0.6032776354470716-0.3683485884422258j),(-1.7618196607655787-0.03620508067870816j),(-3.033694186273483-0.07981463448622278j),(-1.0965434458176273-0.09113620053184815j),(-0.06072299215006898-5.977055622539407e-17j),(4.506780862760042+0j),(-1.333333333333335+0j),(-1+0j)
