,1,2,3,4,5,6,7
1,(-1.5561921762108444-2.366547573242579j),(-0.34524904898598113-2.2168035143814904j),(-0.05011862804967585-4.124545339792396j),(-0.8438488218650022-3.5256813211533067j),(-0.7118994842539063-5.083568259219622j),(-0.3407464533680998-1.328713959356421j),
2,(1.0099733683269763+0.000812905769098453j),(2.3598383610703153+0.12572831352583216j),(2.8519641409758205-0.010351242085921543j),(7.483269014035994+0.26301901775973635j),(3.0378746567668107+0.004403411528184846j),(2.7792808264486544+0.003914143580608752j),(4.940474542836585+0.005871215370913128j)
3,(-1.5420858890475557-1.429359600845509j),(1.3127113149826346-1.5162735694575438j),(0.859706456652838-0.4711532211962946j),(1.0992512562335142-1.1794676624728089j),(0.5202900663478396-1.1794676624728089j),(-0.8095485421807715-0.3931558874909363j),(-0.714322813271155-0.5897338312364044j)
4,(1.2549964053192486-0.006568216755253532j),(2.2099976040950904+3.5113947432257505e-18j),(1.5984148303609207+0j),(7.456676077165636+0j),(4.168408093400146+0j),(0.27840977500403785+0j),(1.7784097750040262+0j)
5,(3.8166916943703826+0.03732074651314557j),(5.3153707445888445-0.06472681409614112j),(5.902917745821391-0.06472681409614112j),(2.152395452706035-0.06472681409614112j),(2.087155926893367-0.06472681409614112j),(0.86212681766478-0.021575604698713703j),(0.7931902264971775-0.03236340704807056j)
6,(1.3719705042091073+0j),(2.300253375904836-0.019372245578052224j),(1.8945106727740857+0j),(5.67793848407605+0j),(1.2042065004096578+0j),(2.6622503343603126+0j),(3.8289170010269777+0j)
7,(4.718039684435908+4.656901655405056e-05j),(2.8436073436863634+0j),(1.9384799835149444+0j),(1.1474882851184638+0j),(0.7268416067586457+0j),(-0.3487722621608885+0j),(1.4768416067586672+0j)
