,1,2,3,4,5,6,7
0.125,(-7.560655201411105-0.43885456838131115j),(-5.493669285579643+0.1651998498042116j),(-2.624488848819959+0.4175705038252435j),(0.6969031939626038+0.15452204658242277j),(0.5659142475103798+0j),(-1.333333333333336+0j),(-1+0j)
0.25,(-3.9355272218800676+0.05678760813253019j),(-4.4707573844492865-0.10727870539678001j),(-3.5780977822708864+0.05924190381525486j),(-2.8339850002884717+0j),(-1.749999999999992+0j),(-3.0000000000000058+0j),(-2+0j)
0.375,(-6.028136931087808-0.16163753273503811j),(-5.727284136475885+0.02895871169350454j),(-3.36558221184179+0j),(-3.8439256997983877+2.1217663624440102e-17j),(-2.7229244868584095+0j),(-1.3333333333333333+0j),(-1+0j)
