,1,2,3,4,5,6,7
0.125,(-1.6864339415202925+0.42411535596000893j),(-0.9559797635330171+0.5013780278711052j),(-0.8617048553527612+0.6093035811199136j),(-2.548478974034216+0.19833298732780014j),(-2.3179399569077326+0j),(-0.6666666666666723+0j),(-1.5000000000000036+0j)
0.25,(-6.856234989653032+0.04567901139367973j),(-4.916346076430645+0.006001264640519322j),(-2.263591062764362+0.06563487585294908j),(-4.162756238243409+0j),(-2.2499999999999996+0j),(-1.666666666666667+0j),(-1+0j)
0.375,(-4.543247262478789+0.001943428429982565j),(-4.303296331986232+0j),(-3.0248024052893863+0j),(-3.3627562382434357+0j),(-1.250000000000024+0j),(-0.6666666666666778+0j),(-1.5000000000000009+0j)
